column,source,category,description
new_people_vaccinated_smoothed_per_hundred,National government reports,Vaccinations,"Daily number of people receiving their first vaccine dose (7-day smoothed) per 100 people in the total population"
stringency_index,"Oxford COVID-19 Government Response Tracker, Blavatnik School of Government",Policy responses,"Government Response Stringency Index: composite measure based on 9 response indicators including school closures, workplace closures, and travel bans, rescaled to a value from 0 to 100 (100 = strictest response)"
population,"United Nations, Department of Economic and Social Affairs, Population Division, World Population Prospects 2019 Revision",Others,"Population (latest available values). See https://github.com/owid/covid-19-data/blob/master/scripts/input/un/population_latest.csv for full list of sources"
population_density,"World Bank World Development Indicators, sourced from Food and Agriculture Organization and World Bank estimates",Others,"Number of people divided by land area, measured in square kilometers, most recent year available"
median_age,"UN Population Division, World Population Prospects, 2017 Revision",Others,"Median age of the population, UN projection for 2020"
aged_65_older,World Bank World Development Indicators based on age/sex distributions of United Nations World Population Prospects 2017 Revision,Others,"Share of the population that is 65 years and older, most recent year available"
aged_70_older,"United Nations, Department of Economic and Social Affairs, Population Division (2017), World Population Prospects 2017 Revision",Others,Share of the population that is 70 years and older in 2015
gdp_per_capita,"World Bank World Development Indicators, source from World Bank, International Comparison Program database",Others,"Gross domestic product at purchasing power parity (constant 2011 international dollars), most recent year available"
extreme_poverty,"World Bank World Development Indicators, sourced from World Bank Development Research Group",Others,"Share of the population living in extreme poverty, most recent year available since 2010"
cardiovasc_death_rate,"Global Burden of Disease Collaborative Network, Global Burden of Disease Study 2017 Results",Others,"Death rate from cardiovascular disease in 2017 (annual number of deaths per 100,000 people)"
diabetes_prevalence,"World Bank World Development Indicators, sourced from International Diabetes Federation, Diabetes Atlas",Others,Diabetes prevalence (% of population aged 20 to 79) in 2017
female_smokers,"World Bank World Development Indicators, sourced from World Health Organization, Global Health Observatory Data Repository",Others,"Share of women who smoke, most recent year available"
male_smokers,"World Bank World Development Indicators, sourced from World Health Organization, Global Health Observatory Data Repository",Others,"Share of men who smoke, most recent year available"
handwashing_facilities,United Nations Statistics Division,Others,"Share of the population with basic handwashing facilities on premises, most recent year available"
hospital_beds_per_thousand,"OECD, Eurostat, World Bank, national government records and other sources",Others,"Hospital beds per 1,000 people, most recent year available since 2010"
life_expectancy,"James C. Riley, Clio Infra, United Nations Population Division",Others,Life expectancy at birth in 2019
human_development_index,United Nations Development Programme (UNDP),Others,"A composite index measuring average achievement in three basic dimensions of human development—a long and healthy life, knowledge and a decent standard of living. Values for 2019, imported from http://hdr.undp.org/en/indicators/137506"
excess_mortality,"Human Mortality Database (2021), World Mortality Dataset (2021)",Excess mortality,"Percentage difference between the reported number of weekly or monthly deaths in 2020–2021 and the projected number of deaths for the same period based on previous years. For more information, see https://github.com/owid/covid-19-data/tree/master/public/data/excess_mortality"
excess_mortality_cumulative,"Human Mortality Database (2021), World Mortality Dataset (2021)",Excess mortality,"Percentage difference between the cumulative number of deaths since 1 January 2020 and the cumulative projected deaths for the same period based on previous years. For more information, see https://github.com/owid/covid-19-data/tree/master/public/data/excess_mortality"
excess_mortality_cumulative_absolute,"Human Mortality Database (2021), World Mortality Dataset (2021)",Excess mortality,"Cumulative difference between the reported number of deaths since 1 January 2020 and the projected number of deaths for the same period based on previous years. For more information, see https://github.com/owid/covid-19-data/tree/master/public/data/excess_mortality"
excess_mortality_cumulative_per_million,"Human Mortality Database (2021), World Mortality Dataset (2021)",Excess mortality,"Cumulative difference between the reported number of deaths since 1 January 2020 and the projected number of deaths for the same period based on previous years, per million people. For more information, see https://github.com/owid/covid-19-data/tree/master/public/data/excess_mortality"
